"","Timestamp","BTCOpen","BTCClose","BTCVolume","BTCCount","BTCReturn","BTCRVol","BTCAmihud","BTCVolLag1","BTCVolLag2","BTCVolLag3","BTCRtnLag1","BTCRtnLag2","BTCRtnLag3","BTCRVolLag1","BTCRVolLag2","BTCRVolLag3","BTCAmhLag1","BTCAmhLag2","BTCAmhLag3","EUROpen","EURClose","EURVolume","EURCount","EURReturn","EURRtnLag1","EURRtnLag2","EURRtnLag3","SPCOpen","SPCClose","SPCVolume","SPCCount","SPCReturn","SPCRtnLag1","SPCRtnLag2","SPCRtnLag3","NASCOpen","NASCClose","NASCVolume","NASCCount","NASCReturn","NASCRtnLag1","NASCRtnLag2","NASCRtnLag3","SPCVOpen","SPCVClose","SPCVVolume","SPCVCount","SPCVReturn","SPCVRtnLag1","SPCVRtnLag2","SPCVRtnLag3","NASCVOpen","NASCVClose","NASCVVolume","NASCVCount","NASCVReturn","NASCVRtnLag1","NASCVRtnLag2","NASCVRtnLag3"
"118","22.01.2021 05:00",30060,30080,1124.5,824,0.000665114756811747,4.42377639728749e-07,5.91475995386169e-07,1517,786,584,-0.00422762107634078,0,-0.00304463018622592,1.78727799651208e-05,0,9.26977297087806e-06,2.78682997781199e-06,0,5.21340785312657e-06,1.2187,1.2186,754.5,436.5,-8.20580150626415e-05,0,0,-8.20916964709983e-05,3841.25,3841,8511,3388,-6.50850987895524e-05,6.50723930597508e-05,0.000195128297473701,-6.49920384976355e-05,13372,13370.25,3157,2275,-0.000130879039907938,-0.000168238450360292,0.000168125309794931,-0.000167933946375598,3841.25,3841,8511,3388,-6.50850987895524e-05,6.50723930597508e-05,0.000195128297473701,-6.49920384976355e-05,13372,13370.25,3157,2275,-0.000130879039907938,-0.000168238450360292,0.000168125309794931,-0.000167933946375598
"130","22.01.2021 06:00",30745,30705,486,396,-0.00130187162407047,1.69486972555989e-06,2.67874819767587e-06,1124.5,1517,786,0.000665114756811747,-0.00422762107634078,0,4.42377639728749e-07,1.78727799651208e-05,0,5.91475995386169e-07,2.78682997781199e-06,0,1.21875,1.2188,480,276.5,4.10247994971358e-05,-8.20580150626415e-05,0,0,3834.25,3834.25,15491,5410,0,-6.50850987895524e-05,6.50723930597508e-05,0.000195128297473701,13351.5,13352.25,5988,4205,5.61718859870552e-05,-0.000130879039907938,-0.000168238450360292,0.000168125309794931,3834.25,3834.25,15491,5410,0,-6.50850987895524e-05,6.50723930597508e-05,0.000195128297473701,13351.5,13352.25,5988,4205,5.61718859870552e-05,-0.000130879039907938,-0.000168238450360292,0.000168125309794931
"142","22.01.2021 07:00",30945,30935,442,307,-0.000323206208372895,1.04462253130783e-07,7.31235765549536e-07,486,1124.5,1517,-0.00130187162407047,0.000665114756811747,-0.00422762107634078,1.69486972555989e-06,4.42377639728749e-07,1.78727799651208e-05,2.67874819767587e-06,5.91475995386169e-07,2.78682997781199e-06,1.2187,1.2187,316.5,185.5,0,4.10247994971358e-05,-8.20580150626415e-05,0,3833.75,3833.75,8698,3331,0,0,-6.50850987895524e-05,6.50723930597508e-05,13347.75,13348,2888,2149,1.87295730604831e-05,5.61718859870552e-05,-0.000130879039907938,-0.000168238450360292,3833.75,3833.75,8698,3331,0,0,-6.50850987895524e-05,6.50723930597508e-05,13347.75,13348,2888,2149,1.87295730604831e-05,5.61718859870552e-05,-0.000130879039907938,-0.000168238450360292
"154","22.01.2021 08:00",30903.3333333333,30895,345.833333333333,290.166666666667,-0.000269694437838197,7.27350898008612e-08,7.79839338327317e-07,442,486,1124.5,-0.000323206208372895,-0.00130187162407047,0.000665114756811747,1.04462253130783e-07,1.69486972555989e-06,4.42377639728749e-07,7.31235765549536e-07,2.67874819767587e-06,5.91475995386169e-07,1.2187,1.2187,353.5,140.5,0,0,4.10247994971358e-05,-8.20580150626415e-05,3836.25,3836,6242,2212,-6.51699306182252e-05,0,0,-6.50850987895524e-05,13354.5,13355,1995,1527,3.74398622255967e-05,1.87295730604831e-05,5.61718859870552e-05,-0.000130879039907938,3836.25,3836,6242,2212,-6.51699306182252e-05,0,0,-6.50850987895524e-05,13354.5,13355,1995,1527,3.74398622255967e-05,1.87295730604831e-05,5.61718859870552e-05,-0.000130879039907938
"166","22.01.2021 09:00",31815,31837.5,377.166666666667,297.333333333333,0.000706963620821455,4.99797561164982e-07,1.87440641843956e-06,345.833333333333,442,486,-0.000269694437838197,-0.000323206208372895,-0.00130187162407047,7.27350898008612e-08,1.04462253130783e-07,1.69486972555989e-06,7.79839338327317e-07,7.31235765549536e-07,2.67874819767587e-06,1.2185,1.2185,308.5,144,0,0,0,4.10247994971358e-05,3835.75,3835.25,4502,1808,-0.000130361100431742,-6.51699306182252e-05,0,0,13351.75,13348.25,2841,2105,-0.000262172286145557,3.74398622255967e-05,1.87295730604831e-05,5.61718859870552e-05,3835.75,3835.25,4502,1808,-0.000130361100431742,-6.51699306182252e-05,0,0,13351.75,13348.25,2841,2105,-0.000262172286145557,3.74398622255967e-05,1.87295730604831e-05,5.61718859870552e-05
"178","22.01.2021 10:00",31620,31620,263.5,213.5,0,0,0,377.166666666667,345.833333333333,442,0.000706963620821455,-0.000269694437838197,-0.000323206208372895,4.99797561164982e-07,7.27350898008612e-08,1.04462253130783e-07,1.87440641843956e-06,7.79839338327317e-07,7.31235765549536e-07,1.2179,1.2179,636.5,316.5,0,0,0,0,3834.75,3833.25,5406,1986,-0.000391236311719112,-0.000130361100431742,-6.51699306182252e-05,0,13355.25,13351,2391,1751,-0.000318277559438584,-0.000262172286145557,3.74398622255967e-05,1.87295730604831e-05,3834.75,3833.25,5406,1986,-0.000391236311719112,-0.000130361100431742,-6.51699306182252e-05,0,13355.25,13351,2391,1751,-0.000318277559438584,-0.000262172286145557,3.74398622255967e-05,1.87295730604831e-05
"190","22.01.2021 11:00",30650,30760,513.5,410.5,0.00358248225522395,1.28341791089945e-05,6.97659640744684e-06,263.5,377.166666666667,345.833333333333,0,0.000706963620821455,-0.000269694437838197,0,4.99797561164982e-07,7.27350898008612e-08,0,1.87440641843956e-06,7.79839338327317e-07,1.217,1.2169,1170,548,-8.21726447727822e-05,0,0,0,3829.25,3830.25,11385,4049,0.000261113651198741,-0.000391236311719112,-0.000130361100431742,-6.51699306182252e-05,13344.75,13346.75,3350,2404,0.000149860442745009,-0.000318277559438584,-0.000262172286145557,3.74398622255967e-05,3829.25,3830.25,11385,4049,0.000261113651198741,-0.000391236311719112,-0.000130361100431742,-6.51699306182252e-05,13344.75,13346.75,3350,2404,0.000149860442745009,-0.000318277559438584,-0.000262172286145557,3.74398622255967e-05
"202","22.01.2021 12:00",31485,31520,435,335,0.00111102304897237,1.23437221534786e-06,2.55407597464913e-06,513.5,263.5,377.166666666667,0.00358248225522395,0,0.000706963620821455,1.28341791089945e-05,0,4.99797561164982e-07,6.97659640744684e-06,0,1.87440641843956e-06,1.2194,1.2192,2828,1167,-0.000164028541333877,-8.21726447727822e-05,0,0,3828.25,3829.25,31702,10508,0.000261181849346315,0.000261113651198741,-0.000391236311719112,-0.000130361100431742,13342.5,13345.75,9027,6287,0.000243552875595299,0.000149860442745009,-0.000318277559438584,-0.000262172286145557,3828.25,3829.25,31702,10508,0.000261181849346315,0.000261113651198741,-0.000391236311719112,-0.000130361100431742,13342.5,13345.75,9027,6287,0.000243552875595299,0.000149860442745009,-0.000318277559438584,-0.000262172286145557
"214","22.01.2021 13:00",31410,31400,284,237.5,-0.000318420636347128,1.0139170165171e-07,1.12119942375749e-06,435,513.5,263.5,0.00111102304897237,0.00358248225522395,0,1.23437221534786e-06,1.28341791089945e-05,0,2.55407597464913e-06,6.97659640744684e-06,0,1.2187,1.2188,3016,1102,8.20512820974839e-05,-0.000164028541333877,-8.21726447727822e-05,0,3821,3820.5,28594,7867,-0.000130864359277894,0.000261181849346315,0.000261113651198741,-0.000391236311719112,13328.25,13327.5,7429,5231,-5.62730367903441e-05,0.000243552875595299,0.000149860442745009,-0.000318277559438584,3821,3820.5,28594,7867,-0.000130864359277894,0.000261181849346315,0.000261113651198741,-0.000391236311719112,13328.25,13327.5,7429,5231,-5.62730367903441e-05,0.000243552875595299,0.000149860442745009,-0.000318277559438584
"226","22.01.2021 14:00",31365,31360,299.5,236,-0.000159426066499435,2.54166706794823e-08,5.32307400665894e-07,284,435,513.5,-0.000318420636347128,0.00111102304897237,0.00358248225522395,1.0139170165171e-07,1.23437221534786e-06,1.28341791089945e-05,1.12119942375749e-06,2.55407597464913e-06,6.97659640744684e-06,1.2181,1.2181,1095,460.5,0,8.20512820974839e-05,-0.000164028541333877,-8.21726447727822e-05,3818.25,3818.75,18639,5501,0.000130941469350887,-0.000130864359277894,0.000261181849346315,0.000261113651198741,13317.75,13319.25,5219,3682,0.000112625295759727,-5.62730367903441e-05,0.000243552875595299,0.000149860442745009,3818.25,3818.75,18639,5501,0.000130941469350887,-0.000130864359277894,0.000261181849346315,0.000261113651198741,13317.75,13319.25,5219,3682,0.000112625295759727,-5.62730367903441e-05,0.000243552875595299,0.000149860442745009
